Id;cod_ind_p;nome_ind_p;definicao_p;inter_p;met_calc_p;fonte_p;valor_ref_p;period_p;atuali_p;period_c_p;abrang_g_p;nivel_a_p;dimen_p;limit_p;bibli_p;quest_pen_p;bobs_p;periodo_inic;periodo_fin;sexo;ajuste;cobertura;renda;escolaridade;situacao;pnad;sus;especialista;esfera;fxetaria;tabela;erro;porte;status
1;A02;Postos ou centros de saúde como serviço de uso regular;Percentual da população que refere fazer uso regular de postos ou centros de saúde públicos.;Permite monitorar o acesso efetivo aos serviços de saúde no sistema público e se os serviços de uso regular são unidades de atenção básica.;Numerador: número de pessoas que referem fazer uso regular de postos ou centros de saúde públicos X 100. Denominador: população que refere uso regular de algum serviço de saúde.;PNAD e PNS.;Idealmente, todas as pessoas devem usar postos e centros de saúde quando buscam serviços de saúde, excetuando os casos de urgência.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
2;A03;Consultas médicas;Percentual da população que refere ter consultado médico nos últimos 12 meses, em determinado espaço geográfico.;Permite conhecer a proporção da população que teve pelo menos uma consulta médica no ano de referência.;Numerador: número de pessoas que referem ter consultado médico nos últimos 12 meses X 100. Denominador: população total residente.;PNAD e PNS.;Espera-se que, em média, cada pessoa consulte um médico pelo menos uma vez ao ano.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
3;A04;Consultas odontológicas;Percentual da população que refere ter realizado a última consulta odontológica nos últimos 12 meses.;Permite monitorar o acesso a serviços odontológicos, com financiamento do SUS ou não.;Numerador: número de pessoas que foram ao dentista nos últimos 12 meses X 100. Denominador: população total residente.;PNAD e PNS.;Espera-se que, em média, cada pessoa consulte o dentista pelo menos uma vez ao ano.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
4;A05;Internações hospitalares referidas;Percentual da população que refere internação hospitalar nos últimos 12 meses, em determinado espaço geográfico.;Estima o acesso a internações hospitalares pela população brasileira, financiadas pelo SUS ou não.;Numerador: número de pessoas que referem internação hospitalar nos últimos 12 meses X 100. Denominador: população total residente.;PNAD e PNS.;Espera-se que a taxa de internação permaneça em torno de 6 a 8%.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Media e alta complexidade;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
5;A07;Cobertura de mamografia;Percentual de mulheres de 50 a 69 anos que fizeram pelo menos uma mamografia nos últimos 2 anos, em determinado espaço geográfico.;Permite monitorar o acesso de mulheres de 50 a 69 anos ao exame de mamografia.;Numerador: número de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos X 100 (V7741 <=2 ou V1704<=2). Denominador: população feminina de 50 a 69 anos residente.;PNAD e PNS.;O Instituto Nacional do Câncer (INCA) recomenda que o exame de mamografia seja realizado a cada dois anos em mulheres de 50 a 69 anos, para diagnóstico precoce do câncer de mama.;Quinquenal.;Quinquenal.;2003 - 2013;Brasil, Grandes Regiões e UFs.;Média e alta complexidade;Acesso/Efetividade.;1 - A informação prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;Instituto Nacional de Câncer José Alencar Gomes da Silva. Diretrizes para a detecção precoce do câncer de mama no Brasil/ Instituto Nacional de Câncer José Alencar Gomes da Silva - Rio de Janeiro: INCA, 2015.;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;2003;2013;0;0;3;1;2;1;1;0;0;0;0;1;1;0;S
6;A08;Uso de serviços de saúde nas duas últimas semanas;Percentual da população que referiu uso de serviços de saúde nos últimos 15 dias, em determinado espaço geográfico.;Permite monitorar o uso de serviços de saúde, financiados pelo SUS ou não.;Numerador: número de pessoas que procuraram serviços de saúde nos últimos 15 dias e foram atendidas X 100 (V1350=2 & (v1354 ou V1358=2)). Denominador: população total residente.;PNAD e PNS.;;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informação prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
7;A10;Partos hospitalares;Percentual de partos hospitalares no total de partos, na população residente em determinado espaço geográfico, no ano considerado.;1 - Mede a participação relativa dos partos hospitalares no total de partos. O número de nascidos vivos é adotado como uma aproximação do total de partos. 2 - É influenciado por fatores socioeconômicos, pela infra-estrutura de prestação de serviços e por políticas públicas assistenciais e preventivas.;Numerador: número de nascidos vivos de parto hospitalar, de mães residentes X 100. Denominador: número total de nascidos vivos de mulheres residentes.;SINASC.;Pode-se usar como valor de referência a UF com maior proporção.;Mensal.;Anual.;2000 - 2016;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - Desconsidera, por restrição da fonte de dados, os partos que deram origem a natimortos e abortos. 2 - A representatividade populacional do indicador pode estar comprometida nas áreas que apresentam insuficiente cobertura do sistema de informação sobre nascidos vivos. 3 - Há possibilidade de superestimação do indicador pela maior probabilidade de registro de partos hospitalares no sistema de informação sobre nascidos vivos. 4 - Há possibilidade de nascidos vivos que morrem logo após o nascimento serem declarados como natimortos, subenumerando o total de nascidos vivos. 5 - A ocorrência de partos gemelares resulta em contagem cumulativa de nascidos vivos. 6 - Por incluir no denominador os partos sem informação sobre o local do parto, está-se assumindo que estes casos foram não hospitalares.;;;;2000;2016;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
8;A11;Cirurgias de prótese de quadril em idosos;Número de cirurgias de prótese parcial ou total de quadril por 100 mil habitantes com 60 anos ou mais, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de implantação de prótese de quadril em residentes de 60 anos ou mais de idade X 100.000. Denominador: população total de 60 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 39003124, 39016129, 39018121, 39025128, 39027120, 39029123 e 93392150. Procedimento (SIH/2008-2010):0408040041, 0408040050, 0408040076, 0408040084, 0408040092 e 0702031224.;SIH-SUS.;;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Alta e média complexidade;Acesso.;1 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 2 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;;;;2000;2017;0;1;3;0;0;0;;0;0;0;0;1;0;0;S
9;A12;Cirurgias de catarata;Número de cirurgias de remoção de catarata (facectomia) em residentes de 40 anos ou mais de idade, por 100 mil habitantes, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de remoção de catarata (hospitalares ou ambulatorias) em residentes de 40 anos ou mais de idade X 100.000. Denominador: população total de 40 anos ou mais de idade residente. Procedimentos (SIH/2000-2007): 36004049, 36005045, 36019054, 36020052. Procedimentos (SIA/2000-2007): 0814507, 0814603, 0814614, 0814617 a 0814618. Procedimentos (SIH e SIA/2008-2015): 0405050097, 0405050100, 0405050119 e 0405050372.;SIH-SUS e SIA.;A média para os países da OECD, em 2007, foi 716 por 100 mil habitantes, considerando internação e day case (excluindo os casos realizados em ambulatório fora dos hospitais).;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Média e alta complexidade;Acesso.;1 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 2 - Houve períodos em que foram realizados mutirões (2002-2005). 3 - Os dados das cirurgias ambulatoriais não permitem identificação da faixa etária até 2007. 4 - Dados de 2008 e 2009 indicam que 90% dos pacientes tinham mais de 40 anos de idade.;;;;2000;2017;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
10;A13;Cirurgias de revascularização do miocárdio;Número de cirurgias de revascularização do miocárdio, por 100 mil habitantes com 20 anos ou mais de idade, em determinado espaço geográfico, no ano considerado.;Permite monitorar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de cirurgias de revascularização do miocárdio em residentes de 20 anos ou mais de idade X 100.000. Denominador: população total de 20 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 32011016, 32038011, 32039018, 32040016, 48010073, 48010081, 48010090 e 48010103. Procedimentos (SIH/ 2008-2010): 0406010927, 0406010935, 0406010943 e 0406010951.;SIH-SUS.;Segundo Emanuel & Fuchs (2008), as taxas de cirurgia de revascularização coronariana (angioplastia e revascularização) por 100.000 habitantes variam de 579 (EUA), 320 (Noruega), 196 (França), 134 (Suiça) e 245 (média dos países da OECD). Segundo o relatório do CIHI (2009/2010), a taxa padronizada por idade para angioplastia foi de 66 e a de revascularização foi de 169 por 100 mil habitantes com 20 anos ou mais.;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Média e alta complexidade;Acesso.;1 - As variações nas taxas entre as regiões de saúde podem ser devidas à prevalência da doença coronariana, disponibilidade de serviços e padrões de práticas dos provedores. 2 - Em decorrência dos avanços tecnológicos e do caráter menos invasivo, observa-se que nos anos mais recentes houve uma diminuição nas taxas de cirurgias de revascularização e aumento nas taxas de angioplastia. 3 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 4 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;1 - Canadian Institute for Health Information, Health Indicators 2009 (Ottawa, Ont.: CIHI, 2009). 2 - Emanuel, E. J. & Fuchs, V. R. The perfect storm of overutilization. Jama, 2008 (23):2789-91. 3 - Polanczyk CA, Ribeiro JP. Coronary artery disease in Brazil: contemporary management and future perspectives. Heart. 2009 95(11):870-6.;;;2000;2017;0;1;3;0;0;0;;0;0;0;0;1;0;0;S
11;A15;Angioplastias;Número de angioplastias, por 100 mil habitantes de 20 anos ou mais de idade, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de angioplastia em residentes de 20 anos ou mais de idade X 100.000. Denominador: população total de 20 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 32023014, 32035012, 48030066, 48030074, 48030082, 48030090, 48030104, 48030112. Procedimentos (SIH/2008-2010): 0406030014, 0406030022, 0406030030, 0406030049, 0406030065 e 0406030073.;SIH-SUS.;Segundo Emanuel & Fuchs (2008), as taxas de cirurgia de revascularização coronariana (angioplastia e revascularização) por 100.000 habitantes variam de 579 (EUA), 320 (Noruega), 196 (França), 134 (Suiça) e 245 (média dos países da OECD). Segundo o relatório do CIHI (2009/2010), a taxa padronizada por idade para angioplastia foi de 66 e a de revascularização foi de 169 por 100 mil habitantes com 20 anos ou mais.;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Média e alta complexidade;Acesso.;1 - As variações nas taxas entre as regiões podem ser devidas à prevalência da doença coronariana, disponibilidade de serviços e padrões de práticas dos provedores. 2 - Em decorrência dos avanços tecnológicos e do caráter menos invasivo, observa-se que nos anos mais recentes houve uma diminuição nas taxas de cirurgias de revascularização e aumento nas taxas de angioplastia. 3 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 4 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;1 - Canadian Institute for Health Information, Health Indicators 2009 (Ottawa, Ont.: CIHI, 2009). 2 - Emanuel, E. J. & Fuchs, V. R. The perfect storm of overutilization. Jama, 2008 (23):2789-91. 3 - Polanczyk CA, Ribeiro JP. Coronary artery disease in Brazil: contemporary management and future perspectives. Heart. 2009 95(11):870-6.;;;2000;2017;0;1;3;0;0;0;;0;0;0;0;1;0;0;S
13;A20;Imunização de menores de 1 ano por tetra/penta/hexavalente;Percentual de crianças menores de 1 ano vacinadas com a terceira dose de imunobiológico contra Difteria, Coqueluche, Tétano, Haemophylus Influenzae B - HIb e Hepatite B, em determinado espaço geográfico, no ano considerado.;1 - Estima o nível de proteção da população infantil contra doenças selecionadas, evitáveis por imunização, mediante o cumprimento do esquema básico de vacinação. 2 - O número de doses necessárias e os intervalos recomendados entre as doses, para cada tipo de vacina, constam de normas nacionais estabelecidas pelo Ministério da Saúde.;Numerador: número de crianças menores de 1 ano que receberam a terceira dose de tetra/penta/hexavalente X 100. Denominador: população total de crianças menores de 1 ano residente.;SI-PNI e SINASC.;O Ministério da Saúde recomenda uma meta mínima igual ou maior que 95% de cobertura da vacinação tetra ou pentavalente em menores de um ano de idade.;Anual.;Anual.;2003 - 2016;Brasil, Grandes Regiões e UFs.;Primária;Acesso.;1 - Limitações das estimativas da população-alvo e do registro das vacinações. 2 - Valores mais baixos de cobertura, assim como acima de 100%, podem estar associados à imunização de não residentes dos municípios onde foram realizados os procedimentos. 3 - Trata-se de uma estimativa da cobertura de imunização. No denominador usa-se o total de nascidos vivos gerado pelo SINASC no mesmo ano.;Brasil. Ministério da Saúde. Secretaria de Gestão Estratégica e Participativa. Departamento de Articulação Interfederativa. Caderno de Diretrizes, Objetivos, Metas e Indicadores: 2013-2015 / Ministério da Saúde, Secretaria de Gestão Estratégica e Participativa.Departamento de Articulação Interfederativa. - 2. ed. - Brasília: Ministério da Saúde, 2014. 154 p. : il. - (Série Articulação Interfederativa v. 1);;;2003;2016;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
12;A19;Cobertura de Papanicolau;Percentual de mulheres de 25 a 64 anos que fizeram o exame colpocitopatológico de esfregaço de material do colo uterino para a identificação de células atípicas nos últimos 3 anos.;Permite monitorar a realização do screening para detecção precoce de anomalias do colo do útero.;Numerador: número de mulheres de 25 a 64 anos que fizeram o exame Papanicolau nos últimos 36 meses x 100. Denominador: número de mulheres de 25 a 64 anos.;PNAD e PNS.;;Quinquenal.;Quinquenal.;2003 - 2013;Brasil, Grandes Regiões e UFs.;Primária;Acesso/Efetividade.;1 - A informação prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;2003;2013;0;0;3;1;2;1;1;0;0;0;0;1;0;0;S
14;A22;Cobertura vacinal de idosos contra gripe;Percentual de pessoas de 60 anos ou mais de idade vacinadas contra gripe/influenza, em relação ao total da população idosa, em determinado espaço geográfico, no ano considerado.;Mede a efetividade de ações primárias de saúde direcionadas à população idosa, pois quanto maior a cobertura, maior a efetividade do programa.;Numerador: número de doses de vacina contra gripe aplicadas em pessoas de 60 anos ou mais X 100. Denominador: população total de 60 anos ou mais residente.;SI-PNI.;O Ministério da Saúde estabeleceu a meta de vacinar 80% da população com 60 anos ou mais de idade.;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;Problemas na estimativa da população alvo e no registro de vacinações.;1 - Brasil. Campanha Nacional de Vacinação contra a Influenza. Informe Técnico. Brasília, 2015. Disponível em: http://portalsaude.saude.gov.br/images/pdf/2015/junho/26/Informe-Campanha-Influenza---Atualiza----o-25-03-2014-final.pdf. 2 - W Paul Glezen & Lone Simonsen. Commentary: Benefits of influenza vaccine in US elderly-new studies raise questions. International Journal of Epidemiology 2006 35(2):352-353. 3 - Nichol, K.L., Margolis, K.L., Wuorenma, J., Von Sternberg, T. The Efficacy and Cost Effectiveness of Vaccination against Influenza among Elderly Persons Living in the Community. N Engl J Med 1994 331: 778-784. 4 - Peter A. Gross Alicia W. Hermogenes Henry S. Sacks Joseph Lau Roland A. Levandowski. The Efficacy of Influenza Vaccine in Elderly Persons. A Meta-Analysis and Review of the Literature. Annals of Internal Medicine, 123(7): 518-527, October 1995. 5 - Lisa A Jackson, Michael L Jackson, Jennifer C Nelson, Kathleen M Neuzil, Noel S Weiss. Evidence of bias in estimates of influenza vaccine effectiveness in seniors. International Journal of Epidemiology 2006 35(2):337-344.;;;2000;2017;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
15;A23;População que refere nunca ter realizado consulta odontológica;Percentual da população que refere nunca ter realizado consulta odontológica.;Estima o acesso a atendimentos odontológicos da população brasileira, com financiamento do SUS ou não.;Numerador: número de pessoas que referem nunca ter ido ao dentista X 100. Denominador: população total residente.;PNAD e PNS.;Espera-se que, em média, cada pessoa consulte o dentista pelo menos uma vez ao ano.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
16;A26;Cobertura pela Estratégia Saúde da Família;Percentual da população coberta pela Estratégia Saúde da Família (ESF), em determinado espaço geográfico, no ano considerado.;Considera-se que a continuidade e a ampliação da ESF indicam a sustentabilidade da reorientação da política de saúde.;Numerador: número de pessoas que residem em domicílios cadastrados na Estratégia Saúde da Família X 100. Denominador: população total residente.;Departamento de Atenção Básica - DAB/SAS/MS.;;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;;Acesso.;;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;2000;2017;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
17;A27;Cobertura por plano de saúde referida;Percentual da população que referiu estar coberta por planos e seguros de assistência suplementar à saúde, em determinado espaço geográfico, no ano considerado.;Estima a parcela da população coberta por planos e seguros de assistência suplementar à saúde.;Numerador: número de beneficiários de planos de saúde X 100. Denominador: população total residente.;PNAD e PNS.;;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;;Acesso.;A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
18;A51;Internação hospitalar;Taxa de internação hospitalar no Sistema Único de Saúde (SUS), por 1.000 habitantes, na população residente em determinado espaço geográfico, no ano considerado.;1 - Reflete as condições de acesso aos serviços hospitalares, que, por sua vez, guarda relação com a oferta desses serviços no SUS. 2 - Revela o resultado das ações e serviços de promoção da saúde, prevenção de riscos, e do diagnóstico e tratamento precoces.;Numerador: número de internações hospitalares de residentes, pagas pelo SUS X 1.000. Denominador: população total residente, no período considerado.;SIH-SUS.;;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Media e alta complexidades.;Acesso.;;;;;2000;2017;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
19;B01;Incidência de Aids;Número de casos novos confirmados de síndrome de imunodeficiência adquirida (Aids - códigos B20-B24 da CID-10), por 100 mil habitantes, na população residente em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de ocorrência de Aids, numa determinada população em intervalo de tempo determinado. 2 - Indica a existência de condições favoráveis à transmissão da doença, por via sexual, sanguínea ou por transmissão vertical. 3 - Não reflete a situação atual de infecção pelo HIV no período de referência e sim a da doença, cujos sinais e sintomas surgem, em geral, após longo período de infecção assintomática (em média 8 anos), no qual o indivíduo permanece infectante. 4 - Indica a efetividade do Programa Nacional de DST/Aids.;Numerador: número de casos novos de Aids em residentes X 100.000. Denominador: população total residente no período determinado.;SINAN, sendo que desde 2005 os dados do SINAN são complementados com dados de outros sistemas de informação (Siclom, Siscel e SIM).;;Mensal.;Anual.;2000 - 2016;Brasil, Grandes Regiões e UFs.;Básica;Efetividade.;;OECD, Health at a Glance 2011: OECD Indicators, OECD Publishing.;Informações apresentadas segundo local de residência e ano do diagnóstico.;;2000;2016;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
20;B06;Mortalidade por hipertensão;Número de óbitos por hipertensão na população residente de 50 a 64 anos de idade, por 100 mil habitantes, em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de morte por hipertensão na população de 50 a 64 anos de idade e dimensiona a sua magnitude como problema de saúde pública. 2 - É um indicador de efetividade das ações de atenção primária.;Numerador: número de óbitos de residentes de 50 a 64 anos de idade, por hipertensão X 100.000. Denominador: população total residente de 50 a 64 anos de idade. Códigos CID-10: I10-I13.;SIM e IBGE.;;Anual.;Anual.;2000 - 2016;Brasil, Grandes Regiões e UFs.;Básica;Efetividade.;Requer correção da subenumeração de óbitos captados pelo sistema de informação sobre mortalidade, especialmente nas regiões Norte e Nordeste.;Lotufo, P. Revisão/Atualização em Hipertensão Arterial: A mortalidade elevada associada à hipertensão no Brasil: um fator dietético? J. Bras. Nefrol. 1996 18(3): 285-288.;;;2000;2016;0;1;3;0;0;0;;0;0;0;0;1;0;0;S
21;B07;Mortalidade por infecção respiratória aguda em menores de 5 anos de idade;Número de óbitos por infecção respiratória aguda (IRA) em menores de 5 anos de idade, por 100 mil habitantes, na população residente menor de 5 anos de idade, em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de morte por infecção respiratória aguda em menores de 5 anos e dimensiona a sua magnitude como problema de saúde pública. 2 - É um indicador de efetividade das ações de atenção primária. 3 - Reflete as condições socioeconômicas e de atenção básica à saúde da criança, principalmente diante dos fatores ambientais que favorecem a ocorrência de infecções respiratorias.;Numerador: número de óbitos de residentes menores de 5 anos de idade, por IRA X 100.000. Denominador: população total residente menor de 5 anos de idade. Códigos CID-10: J00-J22.;SIM e IBGE.;;Anual.;Anual.;2000 - 2016;Brasil, Grandes Regiões e UFs.;Básica;Efetividade.;Requer correção da subenumeração de óbitos captados pelo sistema de informação sobre mortalidade, especialmente nas regiões Norte e Nordeste.;World Health Organization. Environmental Health Indicators: framework and methodologies. Geneva, Switzerland: WHO, 1999.;;;2000;2016;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
22;B09;Incidência de tuberculose;Número de casos novos confirmados de tuberculose, por 100 mil habitantes, na população residente em determinado espaço geográfico, no ano considerado.;1 - Estima o risco de um indivíduo vir a desenvolver tuberculose, em qualquer de suas formas clínicas, numa determinada população em intervalo de tempo determinado. 2 - Indica a persistência de fatores favoráveis à propagação do bacilo Mycobacterium tuberculosis, que se transmite de um indivíduo a outro, principalmente a partir das formas pulmonares da doença. 3 - Taxas elevadas de incidência de tuberculose estão geralmente associadas a baixos níveis de desenvolvimento socioeconômico e a insatisfatórias condições de assistência, diagnóstico e tratamento de sintomáticos respiratórios. Outro fator a ser considerado é a cobertura de vacinação pelo BCG. 4 - Pode apresentar aumento da morbidade quando há associação entre tuberculose e infecção pelo HIV.;Numerador: número de casos novos confirmados de tuberculose (todas as formas) em residentes X 100.000. Denominador: população total residente no período determinado. Códigos CID-10: A15-A19.;SINAN.;;Mensal.;Anual.;2001 - 2017;Brasil, Grandes Regiões e UFs.;Básica;Efetividade.;1 - Depende das condições técnico-operacionais do sistema de vigilância epidemiológica, em cada área geográfica, para detectar, notificar, investigar e confirmar casos de tuberculose. Na média nacional, o subregistro de casos é estimado em aproximadamente 30%. 2 - O indicador não discrimina as formas clínicas de tuberculose que têm significados diferentes na dinâmica de transmissão da doença.;Ruffino-Netto, A. Tuberculose: a calamidade negligenciada. Revista da Sociedade Brasileira de Medicina Tropical, 35(1): 51-58, jan-fev, 2002.;;;2001;2017;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
23;B11;Internação por condições sensíveis à atenção primária;Percentual de internações hospitalares pagas pelo Sistema Único de Saúde (SUS), por condições sensíveis à atenção primária em relação ao número total de internações hospitalares pagas pelo Sistema Único de Saúde (SUS), na população residente em determinado espaço geográfico, no ano considerado.;1 - Revela o resultado das ações e serviços de promoção da saúde, prevenção de riscos, e do diagnóstico e tratamento precoces. 2 - Mensura, de forma indireta, a avaliação da atenção primária e a eficiência no uso dos recursos.;Numerador: número de internações hospitalares de residentes financiadas pelo SUS, por causas sensíveis à atenção primária X 100. Denominador: número total de internações hospitalares de residentes financiadas pelo SUS.;SIH-SUS.;;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Básica;Efetividade.;1 - O uso das CSAP como instrumento de monitoramento da atenção básica requer que os dados sobre altas hospitalares sejam completos, que os diagnósticos registrados sejam confiáveis, e que as condições selecionadas como sensíveis à atenção ambulatorial sejam válidas. 2 - A oferta de serviços reflete a disponibilidade de recursos humanos, materiais, tecnológicos e financeiros, bem como os critérios técnico-administrativos de pagamento de internações hospitalares adotados no âmbito do SUS. 3 - Não são consideradas as internações em unidades hospitalares sem vínculo com o SUS, as quais podem concentrar atendimento em determinadas especialidades assistenciais, influenciando o padrão de atendimento no SUS. 4 - O sistema de informação utilizado pode não detectar inconsistências na classificação da causa de internação registrada. 5 - Falhas na codificação da causa de internação podem interferir nos resultados do indicador e exigem cautela na interpretação. 6 - A ocorrência eventual de múltiplas internações por pessoa em uma área e período considerado pode superestimar o valor do indicador.;1 - Perpetuo IHO, Wong LR. Atenção hospitalar por condições sensíveis à atenção ambulatorial (CSAA) e as mudanças do seu padrão etário: uma análise exploratória dos dados de Minas Gerais. Anais do XII Seminário sobre a Economia Mineira. 2006. Uberlândia (MG): Universidade Federal de Uberlândia. Uberlândia 2006. 2 - Alfradique, Maria Elmira et al. Internações por condições sensíveis à atenção primária: a construção da lista brasileira como ferramenta para medir o desempenho do sistema de saúde (Projeto ICSAP - Brasil). Cad. Saúde Pública [online]. 2009, vol.25, n.6, pp. 1337-1349.;;;2000;2017;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
